subject_code,credit,target_grade,ai_description,type_number,category
AI3004,3,3,"빅데이터마이닝은 대량의 데이터에서 유용한 정보와 패턴을 추출하는 기술을 다루는 과목입니다. 학생들은 데이터 전처리, 분석 기법 및 머신러닝 알고리즘을 활용하여 실제 사례를 분석하는 방법을 배우게 됩니다. 이 과목을 통해 데이터 기반 의사결정 능력을 향상시키고, 다양한 분야에서의 응용 가능성을 탐구합니다.",,
CSE305,3,3,"데이터베이스 과목은 데이터를 체계적으로 저장, 관리 및 검색하는 방법을 배우는 과정입니다. 학생들은 관계형 데이터베이스, SQL 쿼리 작성, 데이터 모델링 및 최적화 기술을 익힙니다. 또한 데이터베이스 보안 및 무결성 유지의 중요성도 강조됩니다.",,
CSE406,3,4,"캡스톤디자인은 학생들이 학습한 이론과 기술을 활용하여 실제 문제를 해결하는 프로젝트 중심의 과목입니다. 팀원들과 협력하여 아이디어를 구체화하고, 프로토타입을 제작하며, 최종적으로 결과물을 발표하는 과정을 통해 창의력과 문제 해결 능력을 배양합니다. 이 과목은 학생들에게 실무 경험을 제공하여 졸업 후 직무에 대한 준비를 돕는 중요한 역할을 합니다.",,
CSE495,3,4,"독립심화학습1(컴퓨터공학)은 학생들이 컴퓨터공학 분야의 특정 주제에 대해 자율적으로 연구하고 심화 학습하는 과목입니다. 이 과정에서는 이론적 지식뿐만 아니라 실습 및 프로젝트 기반 학습을 통해 실제 문제 해결 능력을 기릅니다. 학생들은 교수의 지도 아래 개인 혹은 팀 프로젝트를 수행하며, 연구 결과를 발표하고 공유하는 기회를 가집니다.",,
CSE496,1,4,"연구연수활동1(컴퓨터공학)은 학생들이 최신 컴퓨터공학 이론과 기술을 탐구하고, 실질적인 연구 경험을 쌓을 수 있는 프로그램입니다. 이 과목에서는 주제에 따른 문헌 조사, 실험 설계 및 데이터 분석을 통해 연구의 기초를 배우게 됩니다. 또한, 학생들은 연구 결과를 보고서와 프레젠테이션 형태로 발표하며, 연구 커뮤니케이션 능력을 한층 강화할 수 있습니다.",,
CSE443,3,4,"AI 네트워킹은 인공지능 기술을 활용하여 네트워크의 설계, 운영, 관리 및 최적화를 연구하는 과목입니다. 이 과목에서는 머신러닝과 딥러닝 알고리즘을 통해 네트워크 트래픽을 분석하고, 보안 및 성능 문제를 해결하는 방법을 배웁니다. 또한, 실제 사례를 통해 AI 기술이 네트워크 분야에 어떻게 적용되는지를 이해합니다.",,
EE210,3,3,"신호와 시스템 과목은 신호의 특성과 시스템의 동작을 이해하고 분석하는 데 중점을 둡니다. 이 과목에서는 시간 도메인과 주파수 도메인에서의 신호 변환, 시스템의 특성, 그리고 필터링과 같은 기본 개념을 배웁니다. 또한, 신호 처리 및 제어 시스템 설계에 필요한 이론적 기초를 제공합니다.",,
EE209,3,2,"논리회로 과목은 디지털 시스템의 기본 구성 요소인 논리 게이트와 회로를 학습하는 과목입니다. 학생들은 불리언 대수, 조합 논리 회로, 순차 논리 회로 등의 개념을 이해하고 설계하는 방법을 익힙니다. 이를 통해 컴퓨터 하드웨어 및 디지털 전자 시스템의 작동 원리를 체계적으로 이해할 수 있습니다.",,
CSE204,3,2,"자료구조는 데이터를 효율적으로 저장하고 관리하기 위한 방법론과 그 구조를 학습하는 과목입니다. 다양한 자료구조(예: 배열, 연결 리스트, 스택, 큐, 트리, 그래프 등)의 특징과 알고리즘을 이해하고 분석합니다. 이를 통해 프로그램의 성능을 최적화하고 문제 해결 능력을 향상시킬 수 있습니다.",,
CSE301,3,3,"운영체제는 컴퓨터 하드웨어와 사용자 간의 인터페이스 역할을 하는 소프트웨어입니다. 주로 시스템 자원 관리, 프로세스 관리, 메모리 관리 및 파일 시스템 관리를 통해 효율적인 컴퓨터 운영을 지원합니다. 다양한 응용 프로그램과 하드웨어 장치가 원활하게 작동할 수 있도록 환경을 제공합니다.",,
CSE450,3,4,"모바일/웹서비스프로그래밍은 다양한 플랫폼에서 작동하는 애플리케이션을 개발하는 기술과 방법론을 다룹니다. 이 과목은 HTML, CSS, JavaScript 및 모바일 개발 프레임워크를 이용해 웹 및 모바일 환경에서의 사용자 경험을 향상시키는 데 집중합니다. 학생들은 실습을 통해 실제 프로젝트를 진행하며 코딩 능력과 문제 해결 능력을 배양합니다.",,
CSE224,3,2,"UI/UX 프로그래밍은 사용자 인터페이스(UI)와 사용자 경험(UX)를 설계하고 구현하는 과정입니다. 이 과목에서는 디자인 원칙, 프로토타이핑, 사용자 테스트 등의 기법을 통해 사용자의 요구를 충족하는 웹 및 애플리케이션 인터페이스를 개발하는 방법을 배웁니다. 실무 중심의 프로젝트를 통해 이론을 실제에 적용해 보는 기회를 제공합니다.",,
SWCON103,3,1,"디자인적 사고(Design Thinking)는 문제 해결을 위한 창의적 접근 방식을 배우는 과목입니다. 학생들은 사용자 중심의 디자인 방법론을 활용하여 실제 문제를 분석하고, 아이디어를 구상하며, 프로토타입을 제작하는 과정에 참여합니다. 이 과목은 협업과 실험을 통해 혁신적인 솔루션을 개발하는 능력을 키우는 데 중점을 둡니다.",,
CSE428,3,4,"컴퓨터그래픽스는 디지털 이미지와 시각 효과를 생성하고 조작하는 기술을 연구하는 학문입니다. 이 과목에서는 2D 및 3D 그래픽 모델링, 렌더링, 애니메이션 및 이미지 처리의 기초 개념과 응용을 다룹니다. 또한, 다양한 소프트웨어 도구와 프로그래밍 기술을 활용하여 실제 프로젝트를 수행하는 경험을 제공합니다.",,
CSE438,2,4,"최신기술콜로키움1은 최신 기술 동향과 혁신에 대한 심층적인 토론과 연구를 촉진하는 과목입니다. 학생들은 다양한 분야의 최신 기술을 탐구하고, 전문가 초청 세미나 및 팀 프로젝트를 통해 실용적인 경험을 쌓습니다. 이를 통해 학생들은 기술의 발전이 사회와 산업에 미치는 영향을 이해하고, 관련 문제 해결 능력을 키우게 됩니다.",,
CSE331,3,3,"딥러닝은 인공지능의 한 분야로, 인공신경망을 기반으로 데이터를 학습하고 패턴을 인식하는 기술입니다. 대량의 데이터에서 자동으로 특성을 추출하여 이미지 인식, 자연어 처리, 음성 인식 등 다양한 문제를 해결하는 데 사용됩니다. 이를 통해 머신러닝보다 더 복잡한 문제를 효과적으로 처리할 수 있는 능력을 갖추게 됩니다.",,
CSE335,3,3,"클라우드 컴퓨팅은 인터넷을 통해 데이터 저장, 관리 및 처리 자원을 제공하는 기술입니다. 사용자는 클라우드 서비스 제공자의 인프라를 통해 필요한 컴퓨팅 자원을 유연하게 사용할 수 있으며, 비용 효율성과 확장성을 제공합니다. 이 기술은 개인 사용자부터 대기업까지 다양한 분야에서 활용되며, 소프트웨어, 플랫폼 및 인프라 서비스로 나눌 수 있습니다.",,
CSE444,3,4,"AIoT네트워크는 인공지능(AI)과 사물인터넷(IoT)의 융합을 통해 스마트한 네트워크 환경을 구축하는 과목입니다. 이 과목에서는 IoT 장치와 데이터 분석 기법을 활용하여 효율적인 네트워크 관리와 최적화 방법을 배우며, AI 기반의 의사결정 모델을 적용합니다. 학생들은 실습을 통해 실제 IoT 시스템에 AI 기술을 통합하는 능력을 기르게 됩니다.",,
CSE426,3,4,"영상처리는 디지털 이미지의 수집, 분석, 변환 및 개선을 다루는 분야입니다. 이 과목에서는 이미지 필터링, 엣지 검출, 분할 및 특징 추출 기술을 배우며, 다양한 애플리케이션에서의 활용 사례를 탐구합니다. 학생들은 이러한 기술을 통해 이미지의 품질을 향상시키고, 정보를 효과적으로 추출하는 방법을 익히게 됩니다.",,
SWCON253,3,2,"기계학습은 데이터에서 패턴을 학습하여 예측이나 분류를 수행하는 알고리즘과 기술을 다루는 분야입니다. 이 과목에서는 기계학습의 이론, 기법, 모델 평가 및 응용 사례를 학습하며, Python과 같은 프로그래밍 언어를 활용한 실습도 포함됩니다. 학생들은 다양한 데이터셋을 기반으로 실제 문제를 해결하는 능력을 배양하게 됩니다.",,
SWCON366,3,3,"3D 데이터 처리 과목은 컴퓨터공학의 기초를 바탕으로 3차원 모델링, 렌더링, 애니메이션 기술을 배우는 과정입니다. 학생들은 3D 데이터의 수집, 저장, 분석 및 시각화 방법을 익히며, 다양한 소프트웨어 도구를 사용해 실제 프로젝트를 수행합니다. 이를 통해 그래픽스 및 컴퓨터 비전 분야에서의 기초 능력을 강화할 수 있습니다.",,
SWCON495,3,4,"강화학습은 에이전트가 환경과 상호작용하며 최적의 행동 전략을 학습하는 기계 학습의 한 분야입니다. 에이전트는 보상 신호를 통해 행동의 결과를 평가하고, 이를 바탕으로 전략을 개선하여 목표를 달성하도록 훈련됩니다. 이 과목에서는 강화학습의 이론, 알고리즘 및 실습을 통해 다양한 문제에 대한 적용 방법을 배웁니다.",,
CSE403,0,4,"졸업논문(컴퓨터공학전공)은 학생들이 컴퓨터공학 분야의 특정 주제를 깊이 있게 연구하고 분석하는 과목입니다. 이 과정에서는 연구 방법론, 데이터 분석, 결과 도출 및 보고서 작성 기술을 배웁니다. 최종적으로 학생들은 독창적인 연구 결과물을 제출하여 졸업 요건을 충족하게 됩니다.",,
CSE203,3,2,"컴퓨터구조는 컴퓨터 시스템의 하드웨어 구성 요소와 그 상호 작용을 이해하는 데 중점을 둔 과목입니다. 이 과목에서는 중앙 처리 장치(CPU), 메모리, 입출력 장치 및 데이터 버스와 같은 기본 구성 요소의 구조와 작동 원리를 학습합니다. 또한, 성능 최적화 및 시스템 설계 원칙에 대해서도 논의합니다.",,
CSE405,3,4,"졸업프로젝트는 학위 취득을 위한 필수 과목으로, 학생이 전공 분야에서 배운 이론과 기술을 실제 문제 해결에 적용하는 경험을 제공합니다. 학생들은 팀을 구성하여 특정 주제를 선정하고, 연구, 설계, 구현 및 발표 과정을 거쳐 최종 결과물을 도출합니다. 이 과정은 문제 해결 능력, 협업 및 의사소통 기술 등을 향상시키는 데 중점을 두고 진행됩니다.",,
CSE104,3,1,"실감미디어컴퓨팅기초는 가상 현실(VR), 증강 현실(AR) 및 혼합 현실(MR) 등 다양한 실감형 미디어 기술의 원리와 응용을 배우는 과목입니다. 학생들은 실감형 콘텐츠 제작 및 인터랙션 디자인의 기초를 익히며, 관련 소프트웨어와 하드웨어를 활용한 실습을 통해 실제 프로젝트를 경험하게 됩니다. 이 과목은 실감미디어의 발전과 미래에 대한 통찰을 제공합니다.",,
SWCON312,3,4,"게임인터랙티브테크놀로지는 게임 개발 과정에서 사용하는 다양한 인터랙티브 기술과 이론을 탐구하는 과목입니다. 이 과목에서는 게임 디자인, 프로그래밍, 그래픽스 및 인공지능 등 다양한 요소를 결합하여 몰입감 있는 게임 경험을 창출하는 방법을 배웁니다. 학생들은 실제 프로젝트를 통해 창의적 문제 해결 능력을 키우고, 최신 게임 기술 트렌드에 대한 이해를 높입니다.",,
SWCON254,3,2,"회로와신호 과목은 전기 회로의 기본 원리와 신호 처리 기법을 배우는 과목입니다. 학생들은 아날로그 및 디지털 회로의 작동 원리를 이해하고, 신호의 분석 및 변환 방법을 배우게 됩니다. 이를 통해 컴퓨터 시스템의 하드웨어와 소프트웨어 간의 상호작용을 이해하는 기초를 다지게 됩니다.",,
CSE327,3,3,"소프트웨어공학은 소프트웨어 시스템의 개발, 운영 및 유지보수를 체계적으로 다루는 학문 분야입니다. 이 과목에서는 요구사항 분석, 설계, 구현, 테스트 및 관리의 전 과정을 학습하며, 품질을 높이기 위한 방법론과 도구들을 배웁니다. 또한, 팀 협업과 프로젝트 관리 기술도 중요한 부분으로 다루어집니다.",,
CSE322,3,3,"컴파일러 과목은 고급 프로그래밍 언어로 작성된 소스 코드를 기계어로 변환하는 과정에 대해 학습합니다. 이 과정에서는 구문 분석, 의미 분석, 최적화 및 코드 생성 등의 주요 기술과 알고리즘을 다룹니다. 학생들은 실제 컴파일러를 설계하고 구현하는 경험을 통해 이론과 실습을 균형 있게 익힐 수 있습니다.",,
CSE423,3,4,"정보보호 과목은 데이터와 시스템의 보안을 유지하기 위한 원칙과 기술을 배우는 분야입니다. 이 과목에서는 해킹, 악성 코드, 암호화, 네트워크 보안 등의 위협 요소와 대응 방안을 다룹니다. 또한, 개인정보 보호 및 법적 규제에 대한 이해도 중요하게 다뤄집니다.",,
SWCON496,3,4,"소프트웨어융합보안은 다양한 소프트웨어 시스템과 네트워크 환경에서 발생할 수 있는 보안 위협을 분석하고 대응하는 방법을 학습하는 과목입니다. 학생들은 보안 프로토콜, 암호화 기술, 그리고 보안 소프트웨어 개발 방법론에 대해 익히며, 실제 사례를 통해 보안 사고를 예방하고 관리하는 능력을 개발합니다. 또한, 최신 보안 트렌드와 기술을 이해하고, 이를 소프트웨어 개발에 효과적으로 적용하는 방법을 배웁니다.",,
SWCON491,3,3,"인공지능과 게임 프로그래밍 과목은 게임 개발에 필요한 인공지능 기술을 배우는 과정입니다. 학생들은 게임의 캐릭터 및 환경에 적용할 수 있는 다양한 AI 알고리즘을 학습하고, 이를 바탕으로 창의적인 게임을 설계하고 구현하는 능력을 기릅니다. 이 과목은 프로그래밍 기술뿐만 아니라 문제 해결 및 창의적 사고를 발전시키는 데 중점을 둡니다.",,
CSE4100,3,4,"블록체인프로젝트 과목은 블록체인 기술의 원리와 응용 사례를 배우고, 실제 프로젝트를 통해 기술을 체험하는 과정입니다. 학생들은 분산 원장, 스마트 계약, 암호화폐 등을 다루며 팀워크를 통해 문제 해결 능력을 키웁니다. 최종적으로, 실무 중심의 프로젝트를 수행하여 이론과 실습을 통합한 깊이 있는 학습을 목표로 합니다.",,
CSE330,3,3,"SW스타트업비즈니스 과목은 소프트웨어 기반 창업의 기본 원리와 실행 전략을 학습하는 과정입니다. 학생들은 비즈니스 모델 개발, 시장 조사, 투자 유치 및 스케일업 전략 등 실제 사례를 통해 실질적인 창업 역량을 키우게 됩니다. 이 과목은 창업 아이디어를 구체화하고, 성공적인 스타트업을 운영하기 위한 필수 지식을 제공합니다.",,
CSE201,3,1,"이산구조는 수학과 컴퓨터 과학의 기초를 이루는 분야로, 이산적인 수학적 구조와 그 성질을 연구합니다. 주로 집합, 그래프, 수셈, 조합론, 논리 등을 다루며, 알고리즘과 데이터 구조의 기반이 됩니다. 이 과목은 문제 해결 능력을 키우고, 다양한 분야에 적용할 수 있는 사고 방식을 기릅니다.",,
AI3001,3,3,"고급딥러닝 과목은 심층 신경망의 이론과 응용을 심도 있게 다루는 과정입니다. 학생들은 최신 딥러닝 아키텍처, 최적화 기법, 그리고 다양한 도메인에서의 실습을 통해 실질적인 문제 해결 능력을 키웁니다. 또한, 연구 동향을 분석하고 관련 프로젝트를 수행하여 창의적인 접근 방식을 개발할 수 있습니다.",,
